timestamp,open,high,low,close,volume,Mkt-RF,SMB,HML,RMW,CMA,,,,,,,,,274,202209,-9.36,-0.96,0.05,-1.4,-0.82,0.19
3/31/2015,83.89,84,80.54,82.25,142500798,-1.12,3.07,-0.37,0.09,-0.51,,,,,,,,,152,201207,0.79,-2.8,-0.02,1.1,0.09,0
2/27/2015,84.79,88,82.55,83.93,138527911,6.13,0.31,-1.86,-1.1,-1.79,,,,,,,,,151,201206,3.89,0.84,0.62,-1.09,0.46,0
1/30/2015,86.27,90.97,84.9,84.98,158867265,-3.11,-0.91,-3.58,1.6,-1.66,,,,,,,,,150,201205,-6.19,-0.12,-1.06,2.08,2.32,0.01
12/31/2014,86.72,87.44,82.65,85.88,138964502,-0.06,2.86,2.27,-1.22,0.96,,,,,,,,,149,201204,-0.85,-0.55,-0.78,1.3,0.65,0
11/28/2014,76.35,88.09,75.59,87.54,159245373,2.55,-2.28,-3.09,1.5,0.26,,,,,,,,,148,201203,3.11,-0.47,1.14,-0.54,0.74,0
10/31/2014,76.51,79.37,72.61,76.27,177410316,2.52,3.72,-1.81,-0.55,-0.09,,,,,,,,,147,201202,4.42,-1.7,0.43,-0.48,-0.01,0
9/30/2014,75.42,77.73,75.41,76.47,119362584,-1.97,-3.73,-1.34,1.31,-0.49,,,,,,,,,146,201201,5.05,2.05,-0.97,-2.01,-1.43,0
8/29/2014,73.32,76.2,72.77,75.5,103445021,4.24,0.31,-0.45,-0.63,-0.69,,,,,,,,,145,201112,0.74,-0.33,1.63,0.98,2.51,0
7/31/2014,75.27,77.569,73.54,73.58,120184800,-2.04,-4.29,0.03,0.88,0.51,,,,,,,,,144,201111,-0.28,-0.27,-0.45,1.86,1.49,0
6/30/2014,76.58,77.76,74.67,75.07,125888500,2.61,3.1,-0.7,-1.89,-1.98,,,,,,,,,143,201110,11.35,3.46,0.1,-2.16,-0.86,0
5/30/2014,79.73,79.76,75.24,76.77,121597900,2.06,-1.89,-0.13,0.05,-1.01,,,,,,,,,142,201109,-7.59,-3.65,-1.72,2.04,0.26,0
4/30/2014,76.76,79.985,76.29,79.71,133598600,-0.19,-4.14,1.17,3.48,1.04,,,,,,,,,141,201108,-5.99,-3.2,-2.36,3.3,-0.38,0.01
3/31/2014,74.49,77.525,73.825,76.43,143316900,0.43,-1.13,4.93,2.13,1.98,,,,,,,,,140,201107,-2.35,-1.2,-0.9,2.68,-1.82,0
2/28/2014,74.19,75.985,72.27,74.7,140708800,4.65,0.16,-0.31,-0.23,-0.47,,,,,,,,,139,201106,-1.75,0.13,-0.39,2.43,-1.51,0
1/31/2014,78.72,79.47,73.64,74.68,146048800,-3.32,0.58,-2.07,-3.88,-1.43,,,,,,,,,138,201105,-1.27,-0.71,-2,1.91,-1.5,0
12/31/2013,80.89,81.37,76.81,78.69,117743800,2.81,-0.44,-0.02,-0.46,0.08,,,,,,,,,137,201104,2.9,-0.5,-2.49,1.11,-0.86,0
11/29/2013,76.97,81.35,76.59,81.01,113143600,3.13,1.4,0.32,0.14,0.05,,,,,,,,,136,201103,0.46,2.63,-1.85,1.8,-0.05,0.01
10/31/2013,73.87,77.6301,71.51,76.75,150995900,4.18,-1.51,1.25,2.78,0.92,,,,,,,,,135,201102,3.49,1.65,1.27,-1.93,0.87,0.01
9/30/2013,73.48,76.73,72.19,73.96,124109700,3.77,2.66,-1.22,-0.58,-1.4,,,,,,,,,134,201101,1.99,-2.38,0.75,-0.65,0.77,0.01
8/30/2013,78.42,79,72.23,72.98,133848900,-2.71,-0.06,-2.69,0.66,-2.16,,,,,,,,,133,201012,6.82,0.99,3.76,-3.52,3.21,0.01
7/31/2013,74.99,78.69,74.09,77.94,113025400,5.65,1.8,0.57,-1.35,0.52,,,,,,,,,132,201011,0.6,3.64,-0.92,0.38,1.63,0.01
6/28/2013,75.06,76.87,72.9,74.49,162608600,-1.2,1.56,0.03,-0.38,0.01,,,,,,,,,131,201010,3.88,0.86,-2.51,1.31,-0.33,0.01
5/31/2013,77.85,79.96,74.82,74.84,162295100,2.8,2.09,2.63,-1.97,-0.91,,,,,,,,,130,201009,9.54,3.77,-3.18,-0.18,0.36,0.01
4/30/2013,75,79.5,74.9,77.72,165085800,1.55,-2.25,0.45,0.27,0.37,,,,,,,,,129,201008,-4.77,-3.13,-1.93,0.58,-1.61,0.01
3/28/2013,70.78,75.11,70.78,74.83,151456500,4.03,0.86,-0.19,0.14,1.37,,,,,,,,,128,201007,6.93,0.14,-0.33,0.27,1.98,0.01
2/28/2013,70.11,71.955,68.13,70.78,205455800,1.29,-0.25,0.11,-0.67,0.54,,,,,,,,,127,201006,-5.57,-2.47,-4.7,-0.16,-1.55,0.01
1/31/2013,68.93,70.44,67.72,69.95,152007900,5.57,0.47,0.96,-1.93,1.42,,,,,,,,,126,201005,-7.89,0.04,-2.44,1.3,-0.22,0.01
12/31/2012,72.11,72.7,67.37,68.23,198433700,1.18,1.91,3.51,-1.85,0.88,,,,,,,,,125,201004,2,4.98,2.89,0.69,1.72,0.01
11/30/2012,75.13,75.16,67.655,72.02,193687500,0.78,0.47,-0.84,0.6,0.84,,,,,,,,,124,201003,6.31,1.85,2.21,-0.65,1.69,0.01
10/31/2012,73.8,77.6,73.63,75.02,144858200,-1.76,-0.9,3.59,-1.34,2.51,,,,,,,,,123,201002,3.4,1.51,3.23,-0.27,1.43,0
